system:index,builtup,canopyMn,canopySD,cluster,cropland,grass,latitude,longitude,wetland,.geo
1821,0,81,33,1,38,11,11.416464367033566,103.88975836671587,0,
1822,3,70,16,1,22,0,12.053819061117121,106.82455439997649,0,
1823,0,79,29,1,16,3,11.942248302829345,106.86093616898386,0,
1824,0,57,44,1,11,3,13.496693070471595,105.80074447065077,0,
1825,3,74,23,1,15,3,14.542601555773187,104.42955602095104,0,
1826,5,70,36,1,27,23,11.896703717924428,107.11749501413207,0,
1827,3,69,27,1,30,21,13.813618702709336,104.24576071381755,0,
1828,1,67,21,1,25,11,14.540715093676534,106.36641360506896,0,
1829,1,88,24,1,20,3,11.444761298483368,106.29553652915091,0,
1830,5,87,24,1,32,0,12.773369603697704,102.0488408549433,0,
1831,1,90,41,1,23,3,11.474136208274107,105.92282551776437,0,
1832,1,78,41,1,25,7,11.57627465607862,106.09718851441447,0,
1833,0,77,40,1,22,1,11.770310757448666,106.5213729915818,0,
1834,5,83,19,1,18,5,14.076375923314606,107.23930656666043,0,
1835,3,80,28,1,40,0,12.498215632171569,105.39084320650115,0,
1836,3,95,47,1,19,3,13.827901915726853,107.10428977945533,0,
1837,1,81,29,1,15,0,11.939283862391743,106.57877533823786,0,
1838,3,83,19,1,30,10,14.589224119019045,106.49577100598403,0,
1839,3,76,27,1,19,0,12.269684223891293,102.50671215526559,0,
1840,1,93,28,1,5,3,10.511501549810493,103.70057316787758,0,
1841,5,75,34,1,34,1,12.475039097841258,102.39810583741398,0,
1842,1,71,21,1,11,7,11.422393247908762,105.94195963331639,0,
1843,1,71,26,1,27,7,12.50333602929106,103.3459182937021,0,
1844,0,79,50,1,27,7,14.411627187348406,107.62010241560417,0,
1845,1,81,38,1,35,15,12.180751010763355,105.59107768333426,0,
1846,7,77,25,1,29,14,12.545646679173135,102.58917749834895,0,
1847,3,70,21,1,34,11,14.273915454292721,106.23274429079005,0,
1848,1,81,34,1,34,7,10.685325557287829,104.10481504573717,0,
1849,3,75,22,1,25,3,12.527860036547548,102.36064609006566,0,
1850,1,74,21,1,23,11,13.925189460997112,105.85787732272159,0,
1851,10,81,44,1,41,15,11.338310937315075,104.39344374652892,0,
1852,3,88,35,1,9,0,12.740760758884127,102.13022821968569,0,
1853,3,83,20,1,11,10,12.016898302939762,106.6631271434179,0,
1854,3,77,62,1,22,11,13.52741545318852,102.59402840088326,0,
1855,1,88,28,1,22,21,14.740680075921775,107.31476505052755,0,
1856,5,62,48,1,16,30,12.938030795277006,104.93728381954269,0,
1857,5,88,36,1,30,1,12.728364007963261,102.18170168546648,0,
1858,10,75,44,1,25,10,14.473071952782254,106.83425620504512,0,
1859,5,80,45,1,21,0,14.44234957006533,104.75402750157967,0,
1860,3,70,19,1,24,1,12.432728447959182,102.58486558498511,0,
1861,5,78,24,1,19,10,12.766362744481563,105.07661252011162,0,
1862,5,90,36,1,37,5,12.575021588963882,107.30398526711797,0,
1863,5,68,66,1,22,10,14.461483685617099,102.85651612690675,0,
1864,7,68,30,1,13,3,11.657392526234705,106.51194068109841,0,
1865,5,72,48,1,21,25,12.243004259952915,107.57752227113629,0,
1866,1,82,40,1,22,5,14.619407512565497,106.59359754042605,0,
1867,3,75,31,1,37,7,12.538639819956995,106.04032515692889,0,
1868,5,85,25,1,25,3,12.3173847654781,105.53044140165532,0,
1869,0,66,34,1,19,3,11.701050649042966,106.1068903194831,0,
1870,5,88,22,1,17,21,14.08311328794551,106.57473291945927,0,
1871,0,79,18,1,14,0,13.051488015661436,102.38382262439627,0,
1872,11,67,17,1,25,15,12.221175198548782,107.59234447332447,0,
1873,1,93,28,1,35,11,13.166562203557282,103.52998309542083,0,
1874,5,73,22,1,26,5,14.375784407511995,106.14973995853622,0,
1875,5,74,13,1,27,1,11.89966815836203,106.68657317233375,0,
1876,7,87,34,1,22,14,12.50118007260917,107.21559104315934,0,
1877,1,79,25,1,23,10,14.639889101043446,106.38123580725714,0,
1878,1,80,20,1,16,1,13.831944334505396,105.41994862170704,0,
1879,5,89,40,1,28,10,13.447914550543848,107.07518436424944,0,
1880,7,69,26,1,25,7,13.19836256461515,106.0322403193717,0,
1881,3,91,36,1,15,28,11.058845052425166,103.69437479241707,0,
1882,3,90,24,1,20,10,11.978630071836225,103.36639988218032,0,
1883,5,79,27,1,27,3,13.367335669558232,104.95210602173087,0,
1884,3,59,46,1,20,15,12.453479531022364,106.78709465262817,0,
1885,3,71,14,1,32,3,13.27732447808935,104.95749591343566,0,
1886,0,79,38,1,35,23,12.086966895101167,107.53790656710605,0,
1887,5,73,40,1,27,11,13.575654983945794,103.96521685058299,0,
1888,0,84,42,1,15,3,14.397074479745653,107.50880115190016,0,
1889,3,73,16,1,30,7,14.703489823159183,106.64965241415591,0,
1890,1,87,20,1,16,7,11.628017616443966,106.66151017590646,0,
1891,5,71,20,1,5,20,12.10178909728916,107.58183418450012,0,
1892,0,89,28,1,5,5,11.455271587307575,103.73129555059491,0,
1893,0,70,28,1,21,30,12.407665451532214,102.22670728120151,0,
1894,3,66,25,1,29,7,11.944673754096467,107.01778201759338,0,
1895,0,84,25,1,12,3,11.728000107566583,106.80649826276543,0,
1896,3,70,21,1,30,3,13.59290263740091,107.55542371514663,0,
1897,3,92,23,1,9,7,14.46283115854328,107.31826848013567,0,
1898,1,89,22,1,25,3,11.941709313658873,105.60724735844865,0,
1899,3,96,68,1,22,5,12.169162743598203,105.3735955530458,0,
1900,0,61,46,1,13,21,12.376673574230058,102.22859374329819,28,
1901,5,73,43,1,27,31,13.582392348576699,103.78977587559193,0,
1902,1,75,14,1,20,1,11.797260215972283,106.00663833377392,0,
1903,5,88,34,1,33,7,13.047984586053365,105.34044771906132,0,
1904,3,74,29,1,21,14,13.870751554779405,102.12187388754326,0,
1905,3,97,72,1,21,10,13.720104081632384,107.40154230697475,0,
1906,7,68,34,1,25,1,12.808403899778407,102.17307785873881,0,
1907,3,77,34,1,29,1,12.331937473080853,102.65008327461312,0,
1908,1,72,24,1,28,7,14.906149751256786,106.85878021230194,0,
1909,1,73,50,1,30,31,13.447645055958612,104.06250439585453,0,
1910,3,89,31,1,13,1,14.292241086088781,107.20804519477262,0,
1911,3,71,45,1,36,3,12.52839902571802,103.2421628783848,0,
1912,1,84,29,1,36,10,14.020051555000245,106.88923310043403,0,
1913,3,79,46,1,25,5,12.678238015109333,102.33773905032028,0,
1914,3,73,21,1,16,3,13.837873215380592,106.67121198097509,0,
1915,3,79,16,1,23,10,14.34371455186889,104.63410241114799,0,
1916,1,69,22,1,15,1,14.243462566161034,107.46029212655701,0,
1917,0,68,24,1,21,0,12.615445776749308,105.48354934382361,0,
1918,3,73,21,1,21,3,13.15901635517067,105.3016404987868,0,
1919,3,74,15,1,28,0,11.471171767836513,106.10230891153402,0,
1920,11,73,14,1,24,15,13.0765510120884,104.7887923030756,0,
1921,1,69,27,1,22,15,13.716331157439077,104.23336396289652,0,
1922,0,77,26,1,27,5,13.360059315756855,101.99359446496915,0,
1923,7,81,35,1,27,21,11.028122669708242,104.33199898109426,0,
1924,3,70,36,1,36,3,13.044481156445295,105.89803201592231,0,
1925,1,75,20,1,18,14,13.937586211917976,105.22240909072632,0,
1926,1,88,33,1,11,3,14.182556789897658,107.07841829927231,0,
1927,3,92,34,1,11,1,11.652811118285694,105.86865710613118,0,
1928,5,67,30,1,25,7,13.440638196742471,107.56997642274958,0,
1929,3,75,45,1,35,21,14.537211664068463,104.46647677912888,0,
1930,1,86,33,1,10,7,14.40569830647321,106.88330421955875,0,
1931,5,73,15,1,26,0,12.637005343568202,102.50859861736227,0,
1932,0,74,14,1,32,5,13.706629352370575,106.19905746763509,0,
1933,5,81,34,1,19,18,11.971623212620084,105.63662226823978,0,
1934,3,76,37,1,16,15,14.656328270742852,107.624414328968,0,
1935,3,88,22,1,7,5,14.510262205544846,107.13285620549074,0,
1936,0,79,25,1,20,0,13.901204442911093,106.6394116199168,0,
1937,1,86,36,1,29,5,11.619663284301641,106.11147172743217,0,
1938,5,75,13,1,19,23,14.418095057394074,104.23821486543083,0,
1939,3,79,26,1,34,14,12.947193611175036,105.72798093263604,0,
1940,1,74,13,1,25,1,11.73904938556127,106.11012425450598,0,
1941,1,80,29,1,25,3,13.571882059752488,104.95426197841279,0,
1942,0,75,74,1,17,15,12.494981697148734,102.12834175758901,0,
1943,0,83,42,1,10,15,12.231415992787756,103.93557244620662,0,
1944,3,69,42,1,5,15,11.89535624499825,105.94654104126546,0,
1945,7,70,38,1,42,3,10.882865088265941,103.77845710301186,0,
